taken_at	commit	candidate	in_use	passages	kept_of_real	real_hits	refused_of_absent	absent_hits
2026-09-24T22:27:00+00:00	560f6fc	0.50	False	173	72	72	4	48
2026-09-24T22:27:00+00:00	560f6fc	0.55	False	173	72	72	16	48
2026-09-24T22:27:00+00:00	560f6fc	0.60	False	173	72	72	27	48
2026-09-24T22:27:00+00:00	560f6fc	0.62	True	173	72	72	31	48
2026-09-24T22:27:00+00:00	560f6fc	0.64	False	173	72	72	42	48
2026-09-24T22:27:00+00:00	560f6fc	0.65	False	173	68	72	47	48
2026-09-24T22:27:00+00:00	560f6fc	0.66	False	173	66	72	48	48
2026-09-24T22:27:00+00:00	560f6fc	0.70	False	173	54	72	48	48
